,sex,age,agegr,placesize,edu,socprof,marital,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,alcabuse,alcsol,wkabint,englang,height,weight,bmi
0,MALE,16,35-44,"URBAN 20,000-100,000",POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,PLEASED,4,IT`S DIFFICULT TO TELL,YES,YES,NO,2,NO,NO,NO,NO,NONE,171,150,29.527196331028193
1,FEMALE,16,16-24,RURAL AREAS,SECONDARY,EMPLOYED IN PUBLIC SECTOR,SINGLE,MOSTLY SATISFIED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,10,NO,NO,NO,NO,PASSIVE,164,65,15.659758861129216
2,MALE,19,16-24,"URBAN 500,000 AND OVER",POST-SECONDARY OR HIGHER,OTHER ECONOMICALLY INACTIVE,SINGLE,MOSTLY SATISFIED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,5,NO,NO,NO,NO,ACTIVE,165,71,24.551907430319005
3,MALE,35,16-24,RURAL AREAS,SECONDARY,UNEMPLOYED,MARRIED,PLEASED,4,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,19,NO,NO,NO,NO,ACTIVE,164,57,27.936549730488544
4,MALE,49,45-59,RURAL AREAS,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,MOSTLY SATISFIED,4,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,4,YES,YES,NO,NO,NONE,176,110,27.64745904895632
5,FEMALE,45,65+,"URBAN 100,000-200,000",PRIMARY/NO EDUCATION,RETIRED,DIVORCED,MOSTLY SATISFIED,5,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,8,NO,NO,NO,NO,NONE,162,116,21.8748043276028
6,FEMALE,42,65+,"URBAN 20,000-100,000",SECONDARY,RETIRED,DIVORCED,MOSTLY SATISFIED,0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,6,NO,NO,NO,NO,NONE,156,73,22.862561046105945
7,MALE,87,60-64,"URBAN 20,000-100,000",POST-SECONDARY OR HIGHER,UNEMPLOYED,MARRIED,MIXED,9,ONE CAN`T BE TOO CAREFUL,YES,NO,NO,3,NO,NO,NO,"YES, TO EU COUNTRY",PASSIVE,168,71,28.235868135963596
8,MALE,16,16-24,RURAL AREAS,POST-SECONDARY OR HIGHER,PUPIL OR STUDENT,SINGLE,MOSTLY SATISFIED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,3,NO,NO,NO,NO,ACTIVE,167,65,17.395767739393648
9,FEMALE,16,25-34,RURAL AREAS,VOCATIONAL/GRAMMAR,EMPLOYED IN PUBLIC SECTOR,SINGLE,MOSTLY SATISFIED,0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,10,NO,NO,NO,NO,ACTIVE,164,57,17.230049588979597
10,FEMALE,67,35-44,RURAL AREAS,PRIMARY/NO EDUCATION,FARMER,MARRIED,MIXED,6,IT`S DIFFICULT TO TELL,YES,YES,YES,4,NO,NO,NO,NO,NONE,148,60,26.68072284166023
11,FEMALE,57,60-64,RURAL AREAS,POST-SECONDARY OR HIGHER,RETIRED,MARRIED,MIXED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,7,NO,NO,NO,NO,NONE,177,82,28.879404579250664
12,FEMALE,39,60-64,RURAL AREAS,PRIMARY/NO EDUCATION,RETIRED,WIDOWED,PLEASED,2,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,7,NO,NO,NO,NO,NONE,167,40,24.774072035488494
13,MALE,67,65+,"URBAN 200,000-500,000",PRIMARY/NO EDUCATION,RETIRED,WIDOWED,MOSTLY SATISFIED,9,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,2,NO,NO,NO,NO,NONE,158,65,38.009868145577705
14,MALE,16,16-24,"URBAN 200,000-500,000",VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,SINGLE,PLEASED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,10,NO,NO,NO,NO,ACTIVE,199,72,24.16041981146146
