"","sex","age","agegr","placesize","edu","socprof","marital","ls","depress","trust","trustfam","trustneigh","sport","nofriend","smoke","alcabuse","alcsol","wkabint","englang","height","weight","bmi"
"1","FEMALE",21,"16-24","URBAN 100,000-200,000","SECONDARY","PUPIL OR STUDENT","SINGLE","DELIGHTED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",3,"YES","NO","NO","YES, TO EU COUNTRY","NONE",156,64,21.6938510567944
"2","MALE",39,"35-44","RURAL AREAS","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED","MOSTLY SATISFIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO","NO","NO","NO","ACTIVE",179,72,31.1672738418007
"3","MALE",65,"60-64","URBAN 100,000-200,000","SECONDARY","EMPLOYED IN PRIVATE SECTOR","DIVORCED","MOSTLY SATISFIED",1,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",5,"NO","NO","NO","NO","PASSIVE",177,94,30.5563112396759
"4","MALE",36,"35-44","RURAL AREAS","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED","PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",1,"YES","NO","NO","NO","NONE",180,113,31.3486656845823
"5","FEMALE",49,"45-59","URBAN BELOW 20,000","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED","PLEASED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",4,"NO","NO","NO","NO","NONE",167,90,20.4554226210144
"6","MALE",66,"60-64","URBAN 20,000-100,000","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED","MIXED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",7,"NO","NO","NO","NO","NONE",171,94,36.8950507854268
"7","FEMALE",46,"25-34","URBAN 100,000-200,000","SECONDARY","EMPLOYED IN PUBLIC SECTOR","SINGLE","MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",5,"NO","NO","NO","YES, TO NON-EU COUNTRY","ACTIVE",182,59,28.5348995917296
"8","MALE",18,"16-24","URBAN BELOW 20,000","SECONDARY","PUPIL OR STUDENT","SINGLE","PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",13,"NO","NO","NO","NO","ACTIVE",184,71,18.964000916058
"9","FEMALE",62,"65+","URBAN 500,000 AND OVER","SECONDARY","RETIRED","MARRIED","MOSTLY SATISFIED",8,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",4,"NO","NO","NO","NO","PASSIVE",172,70,24.0813082545323
"10","MALE",40,"45-59","URBAN 20,000-100,000","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED","MIXED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",1,"NO","NO","NO","NO","NONE",173,80,29.1497874499053
"11","MALE",29,"45-59","URBAN BELOW 20,000","PRIMARY/NO EDUCATION","EMPLOYED IN PRIVATE SECTOR","SINGLE","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",7,"YES","NO","NO","NO","NONE",172,68,25.1205117396524
"12","MALE",48,"35-44","RURAL AREAS","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED","PLEASED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO","NO","NO","NO","NONE",163,91,31.1396959475252
"13","FEMALE",32,"25-34","URBAN 200,000-500,000","POST-SECONDARY OR HIGHER","OTHER ECONOMICALLY INACTIVE","SINGLE","MOSTLY SATISFIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",20,"NO","NO","NO","NO","NONE",161,52,17.9845684546446
"14","MALE",21,"16-24","URBAN 100,000-200,000","SECONDARY","PUPIL OR STUDENT","SINGLE","DELIGHTED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",1,"NO","YES","YES","YES, TO EU COUNTRY","PASSIVE",176,61,19.6873209989868
"15","MALE",87,"65+","URBAN 200,000-500,000","POST-SECONDARY OR HIGHER","RETIRED","MARRIED","MIXED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"YES","NO","NO","NO","NONE",161,80,27.5464306543152
"16","MALE",53,"45-59","URBAN 500,000 AND OVER","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED","PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",6,"NO","NO","NO","NO","PASSIVE",155,67,27.0333367293158
"17","FEMALE",24,"45-59","URBAN 200,000-500,000","SECONDARY","EMPLOYED IN PRIVATE SECTOR","DIVORCED","MOSTLY DISSATISFIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",7,"NO","NO","NO","NO","ACTIVE",164,55,20.1855161985337
"18","FEMALE",79,"60-64","URBAN 100,000-200,000","SECONDARY","RETIRED","WIDOWED","MOSTLY SATISFIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",3,"NO","NO","NO","NO","NONE",151,81,25.9880701668119
"19","FEMALE",36,"25-34","RURAL AREAS","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED","PLEASED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",6,"NO","NO","NO","NO","PASSIVE",165,61,24.9389168771379
"20","MALE",33,"25-34","RURAL AREAS","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","SINGLE","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",2,"NO","NO","NO","NO","ACTIVE",179,70,21.0522515252435
"21","MALE",47,"45-59","RURAL AREAS","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED","PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",33,"NO","NO","NO","NO","NONE",166,76,32.949899819028
"22","MALE",49,"25-34","URBAN BELOW 20,000","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED","MOSTLY SATISFIED",4,"IT`S DIFFICULT TO TELL","YES","YES","NO",7,"NO","NO","NO","YES, TO EU COUNTRY","NONE",170,68,27.8656397215396
"23","MALE",52,"60-64","URBAN 500,000 AND OVER","POST-SECONDARY OR HIGHER","RETIRED","MARRIED","MOSTLY SATISFIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"NO","NO","NO","NO","NONE",184,99,30.067422453817
"24","MALE",51,"45-59","RURAL AREAS","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED","PLEASED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"YES","NO","NO","NO","NONE",165,103,34.1101112719942
"25","FEMALE",18,"16-24","URBAN 500,000 AND OVER","SECONDARY","PUPIL OR STUDENT","SINGLE","PLEASED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO","NO","NO","NO","PASSIVE",164,51,20.5122699092242
"26","FEMALE",27,"16-24","URBAN BELOW 20,000","SECONDARY","PUPIL OR STUDENT","SINGLE","MIXED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO","NO","NO","NO","PASSIVE",160,53,22.8803312092908
"27","MALE",53,"45-59","URBAN 100,000-200,000","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO","NO","NO","NO","PASSIVE",159,76,23.3042752062941
"28","FEMALE",64,"45-59","RURAL AREAS","PRIMARY/NO EDUCATION","UNEMPLOYED","DIVORCED","MOSTLY SATISFIED",4,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO","YES",14,"YES","NO","NO","NO","NONE",158,79,19.7650007934649
"29","MALE",69,"45-59","RURAL AREAS","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE","DIVORCED","MIXED",13,"ONE CAN`T BE TOO CAREFUL","NO","NO","YES",6,"YES","NO","NO","NO","NONE",164,78,26.2553530665321
"30","FEMALE",50,"60-64","URBAN 20,000-100,000","PRIMARY/NO EDUCATION","RETIRED","DIVORCED","MIXED",5,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","NO",2,"YES","NO","NO","NO","NONE",164,48,26.4872074395023
"31","MALE",87,"65+","URBAN BELOW 20,000","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","MARRIED","MOSTLY SATISFIED",7,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO","NO",6,"NO","NO","NO","NO","NONE",157,66,26.5722116021751
"32","MALE",30,"45-59","RURAL AREAS","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED","MIXED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",8,"NO","NO","NO","NO","PASSIVE",183,72,33.5214944815389
"33","MALE",51,"25-34","URBAN 500,000 AND OVER","SECONDARY","RETIRED","MARRIED","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO","NO","NO","NO","NONE",185,91,32.7434568119391
"34","MALE",21,"16-24","URBAN 100,000-200,000","SECONDARY","PUPIL OR STUDENT","SINGLE","PLEASED",4,"IT`S DIFFICULT TO TELL","YES","YES","YES",8,"NO","NO","NO","NO","PASSIVE",157,66,27.4378747357058
"35","FEMALE",23,"16-24","URBAN 100,000-200,000","PRIMARY/NO EDUCATION","PUPIL OR STUDENT","SINGLE","MIXED",1,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","NO",6,"NO","NO","NO","NO","NONE",161,59,19.4618327983492
"36","FEMALE",18,"16-24","URBAN BELOW 20,000","SECONDARY","PUPIL OR STUDENT","SINGLE","PLEASED",5,"MOST PEOPLE CAN BE TRUSTED","NO OPINION","NO OPINION","NO",4,"NO","NO","NO","YES, TO NON-EU COUNTRY","PASSIVE",165,58,23.7092033987288
"37","MALE",30,"16-24","RURAL AREAS","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE","PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"NO","NO","NO","NO","PASSIVE",184,76,20.0234650194075
"38","MALE",60,"45-59","RURAL AREAS","VOCATIONAL/GRAMMAR","FARMER","MARRIED","DELIGHTED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",7,"NO","NO","NO","NO","NONE",165,73,43.5828584846064
"39","FEMALE",60,"65+","URBAN BELOW 20,000","POST-SECONDARY OR HIGHER","RETIRED","DIVORCED","MIXED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",10,"NO","NO","NO","NO","PASSIVE",163,52,18.4345795748018
"40","MALE",53,"35-44","RURAL AREAS","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED","PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO","NO","NO","NO","PASSIVE",177,70,26.0647087810864
"41","MALE",20,"16-24","RURAL AREAS","SECONDARY","UNEMPLOYED","SINGLE","PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",5,"NO","NO","NO","YES, TO EU COUNTRY","ACTIVE",159,70,21.8384427054971
"42","MALE",34,"25-34","RURAL AREAS","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","MARRIED","MOSTLY SATISFIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",4,"NO","NO","NO","YES, TO EU COUNTRY","PASSIVE",185,79,35.7685034172411
"43","FEMALE",34,"16-24","RURAL AREAS","SECONDARY","PUPIL OR STUDENT","SINGLE","PLEASED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",5,"YES","NO","NO","YES, TO EU COUNTRY","NONE",164,54,18.8589040661709
"44","MALE",79,"45-59","URBAN 100,000-200,000","PRIMARY/NO EDUCATION","RETIRED","LEGALLY SEPARATED","MIXED",8,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO","YES",4,"YES","YES","YES","YES, TO EU COUNTRY","NONE",183,68,26.4654196634087
"45","MALE",35,"35-44","URBAN 20,000-100,000","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED","PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",5,"NO","NO","NO","NO","PASSIVE",176,85,27.181033466301
