"","sex","age","agegr","placesize","edu","socprof","marital","ls","depress","trust","trustfam","trustneigh","sport","nofriend","smoke","alcabuse","alcsol","wkabint","englang","height","weight","bmi"
"1","MALE",39,"35-44","URBAN 100,000-200,000","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",1,"YES","NO","NO","NO","NONE",176,91,27.6762661961049
"2","MALE",45,"45-59","URBAN 100,000-200,000","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",4,"YES","NO","NO","NO","NONE",180,94,26.6868574272724
"3","MALE",68,"65+","URBAN 500,000 AND OVER","POST-SECONDARY OR HIGHER","RETIRED","MARRIED","PLEASED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",10,"NO","NO","NO","NO","NONE",174,70,24.5283653857937
"4","MALE",44,"35-44","RURAL AREAS","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED","MOSTLY SATISFIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",1,"NO","NO","NO","NO","NONE",169,91,28.6484160762301
"5","FEMALE",41,"25-34","RURAL AREAS","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT","SINGLE","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",10,"NO","NO","NO","NO","ACTIVE",165,76,26.6178962890473
"6","FEMALE",51,"45-59","URBAN BELOW 20,000","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED","MOSTLY DISSATISFIED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",2,"NO","NO","NO","NO","NONE",161,57,20.3688514687666
"7","MALE",39,"25-34","RURAL AREAS","SECONDARY","OTHER ECONOMICALLY INACTIVE","SINGLE","PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",7,"NO","NO","NO","NO","NONE",177,69,22.5406222660684
"8","FEMALE",29,"25-34","RURAL AREAS","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE","MOSTLY SATISFIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",5,"NO","NO","NO","NO","PASSIVE",168,84,27.2227733175862
"9","FEMALE",52,"45-59","URBAN 100,000-200,000","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED","PLEASED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO","NO","NO","NO","NONE",164,83,32.0982480328911
"10","FEMALE",63,"60-64","RURAL AREAS","SECONDARY","RETIRED","MARRIED","MOSTLY SATISFIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",7,"NO","NO","NO","NO","NONE",164,85,30.1167501325756
"11","FEMALE",68,"65+","RURAL AREAS","PRIMARY/NO EDUCATION","RETIRED","MARRIED","PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO","NO","NO","NO","NONE",163,78,26.5975408368657
"12","MALE",35,"25-34","RURAL AREAS","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED","MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO","NO","NO","NO","PASSIVE",174,70,25.1260189628852
"13","MALE",50,"45-59","URBAN 500,000 AND OVER","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","MARRIED","PLEASED",3,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",10,"NO","NO","NO","NO","ACTIVE",175,73,24.1086135379323
"14","FEMALE",81,"65+","URBAN 100,000-200,000","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","WIDOWED","PLEASED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",1,"NO","NO","NO","NO","NONE",161,76,30.5894841734824
"15","FEMALE",78,"65+","RURAL AREAS","PRIMARY/NO EDUCATION","RETIRED","MARRIED","PLEASED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",1,"NO","NO","NO","NO","NONE",166,100,31.7518181790319
"16","FEMALE",21,"16-24","RURAL AREAS","POST-SECONDARY OR HIGHER","OTHER ECONOMICALLY INACTIVE","SINGLE","PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",4,"NO","NO","NO","NO","ACTIVE",159,54,21.3748851956013
"17","FEMALE",46,"35-44","RURAL AREAS","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED","MIXED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",6,"NO","NO","NO","NO","PASSIVE",170,70,24.0557100354158
"18","FEMALE",37,"35-44","RURAL AREAS","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED","PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",3,"NO","NO","NO","NO","NONE",169,58,21.2786561079517
"19","MALE",34,"25-34","URBAN 100,000-200,000","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","SINGLE","PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",4,"NO","NO","NO","NO","ACTIVE",176,90,29.8014493091678
"20","FEMALE",44,"35-44","RURAL AREAS","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE","MARRIED","MOSTLY DISSATISFIED",1,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",2,"YES","NO","NO","NO","NONE",163,60,22.7715497670952
"21","FEMALE",66,"65+","RURAL AREAS","VOCATIONAL/GRAMMAR","RETIRED","MARRIED","MOSTLY SATISFIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"NO","NO","NO","NO","NONE",164,86,30.1174414161929
"22","FEMALE",44,"35-44","RURAL AREAS","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED","PLEASED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",3,"NO","NO","NO","NO","NONE",160,61,23.850723649358
"23","FEMALE",62,"60-64","RURAL AREAS","SECONDARY","RETIRED","MARRIED","PLEASED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",6,"NO","NO","NO","NO","NONE",165,75,27.6032250372928
"24","MALE",69,"65+","URBAN 100,000-200,000","POST-SECONDARY OR HIGHER","RETIRED","MARRIED","MOSTLY SATISFIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",7,"NO","NO","NO","NO","NONE",170,79,25.53313989292
"25","MALE",26,"25-34","RURAL AREAS","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","SINGLE","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",1,"NO","NO","NO","NO","PASSIVE",180,81,26.2787390132907
"26","FEMALE",49,"45-59","RURAL AREAS","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED","MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO","NO","NO","NO","NONE",170,66,23.6546840089073
"27","MALE",23,"16-24","URBAN BELOW 20,000","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE","MOSTLY SATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",5,"NO","NO","NO","NO","ACTIVE",182,61,19.741677805857
