,sex,age,agegr,placesize,edu,socprof,marital,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,alcabuse,alcsol,wkabint,englang,height,weight,bmi,t
0,FEMALE,66,35-44,"URBAN 100,000-200,000",SECONDARY,LONG-TERM SICK/DISABLED,LEGALLY SEPARATED,DELIGHTED,16,IT`S DIFFICULT TO TELL,YES,NO OPINION,YES,4,NO,YES,NO,"YES, TO NON-EU COUNTRY",NONE,175,138,27.68819017070266,0
1,FEMALE,47,35-44,"URBAN BELOW 20,000",VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,DE FACTO SEPARATED,UNHAPPY,4,IT`S DIFFICULT TO TELL,YES,NO,YES,19,NO,YES,YES,"YES, TO EU COUNTRY",ACTIVE,182,68,18.97270554641449,0
2,MALE,43,16-24,"URBAN 100,000-200,000",SECONDARY,EMPLOYED IN PRIVATE SECTOR,SINGLE,MOSTLY DISSATISFIED,11,MOST PEOPLE CAN BE TRUSTED,NO OPINION,NO,YES,5,YES,NO,NO,NO,NONE,171,93,18.824110668167787,0
3,MALE,47,16-24,"URBAN BELOW 20,000",SECONDARY,EMPLOYED IN PRIVATE SECTOR,DIVORCED,MIXED,0,IT`S DIFFICULT TO TELL,NO,YES,NO,4,YES,NO,YES,"YES, TO NON-EU COUNTRY",ACTIVE,190,77,25.439274297750696,0
4,FEMALE,39,25-34,"URBAN BELOW 20,000",POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,DE FACTO SEPARATED,PLEASED,6,IT`S DIFFICULT TO TELL,YES,NO,YES,6,NO,NO,NO,"YES, TO NON-EU COUNTRY",NONE,148,118,21.24344492893733,0
5,MALE,51,65+,"URBAN 20,000-100,000",PRIMARY/NO EDUCATION,EMPLOYED IN PUBLIC SECTOR,LEGALLY SEPARATED,MIXED,6,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,NO,5,NO,NO,YES,"YES, TO NON-EU COUNTRY",NONE,176,95,24.5789302955728,0
6,FEMALE,58,65+,"URBAN 100,000-200,000",VOCATIONAL/GRAMMAR,LONG-TERM SICK/DISABLED,DIVORCED,PLEASED,0,MOST PEOPLE CAN BE TRUSTED,YES,NO,NO,2,YES,NO,YES,"YES, TO NON-EU COUNTRY",PASSIVE,186,59,25.693875187049905,0
7,FEMALE,82,65+,"URBAN BELOW 20,000",PRIMARY/NO EDUCATION,OTHER ECONOMICALLY INACTIVE,DE FACTO SEPARATED,PLEASED,6,IT`S DIFFICULT TO TELL,NO OPINION,YES,YES,9,NO,NO,NO,"YES, TO EU COUNTRY",NONE,183,101,25.23373517882984,0
8,FEMALE,54,65+,"URBAN 100,000-200,000",SECONDARY,SELF-EMPLOYED,MARRIED,DELIGHTED,14,MOST PEOPLE CAN BE TRUSTED,YES,YES,NO,0,YES,NO,NO,"YES, TO EU COUNTRY",PASSIVE,176,73,22.012015376091313,0
9,FEMALE,63,45-59,"URBAN 20,000-100,000",VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,WIDOWED,MIXED,8,IT`S DIFFICULT TO TELL,YES,NO OPINION,YES,2,NO,YES,YES,NO,NONE,176,50,20.24663158766248,0
10,FEMALE,32,16-24,"URBAN BELOW 20,000",PRIMARY/NO EDUCATION,EMPLOYED IN PRIVATE SECTOR,SINGLE,MOSTLY DISSATISFIED,19,ONE CAN`T BE TOO CAREFUL,NO,NO OPINION,NO,34,YES,YES,YES,NO,ACTIVE,163,121,31.771694606627783,0
11,FEMALE,66,35-44,RURAL AREAS,SECONDARY,SELF-EMPLOYED,LEGALLY SEPARATED,DELIGHTED,2,IT`S DIFFICULT TO TELL,NO OPINION,YES,YES,11,NO,YES,YES,"YES, TO EU COUNTRY",NONE,167,74,24.7667327680947,0
12,MALE,73,65+,"URBAN 200,000-500,000",POST-SECONDARY OR HIGHER,SELF-EMPLOYED,WIDOWED,UNHAPPY,8,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO,NO,18,YES,NO,NO,"YES, TO NON-EU COUNTRY",NONE,186,99,35.402311340375256,0
13,MALE,58,65+,"URBAN 100,000-200,000",PRIMARY/NO EDUCATION,PUPIL OR STUDENT,SINGLE,DELIGHTED,5,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,0,NO,NO,NO,"YES, TO NON-EU COUNTRY",NONE,176,56,22.287106578153125,0
14,FEMALE,27,65+,"URBAN 500,000 AND OVER",POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,LEGALLY SEPARATED,DELIGHTED,0,MOST PEOPLE CAN BE TRUSTED,NO,YES,YES,9,YES,NO,NO,"YES, TO EU COUNTRY",ACTIVE,160,58,29.226747293177517,0
