,sex,age,agegr,placesize,edu,socprof,marital,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,alcabuse,alcsol,wkabint,englang,height,weight,bmi,t
0,FEMALE,54,35-44,"URBAN 100,000-200,000",SECONDARY,LONG-TERM SICK/DISABLED,WIDOWED,DELIGHTED,18,IT`S DIFFICULT TO TELL,YES,NO OPINION,YES,8,NO,YES,NO,"YES, TO NON-EU COUNTRY",NONE,187,96,37.49098235155111,0
1,FEMALE,28,35-44,"URBAN BELOW 20,000",VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,DE FACTO SEPARATED,UNHAPPY,15,MOST PEOPLE CAN BE TRUSTED,NO OPINION,NO,YES,21,NO,YES,YES,"YES, TO EU COUNTRY",ACTIVE,162,69,36.16749800946354,0
2,MALE,60,60-64,"URBAN 100,000-200,000",VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,SINGLE,DELIGHTED,13,MOST PEOPLE CAN BE TRUSTED,NO OPINION,NO,YES,15,YES,NO,NO,NO,ACTIVE,178,117,26.824162625050164,0
3,MALE,33,16-24,"URBAN 100,000-200,000",SECONDARY,OTHER ECONOMICALLY INACTIVE,DIVORCED,MIXED,1,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,NO,5,YES,NO,YES,"YES, TO NON-EU COUNTRY",ACTIVE,176,114,28.13244034029191,0
4,MALE,39,25-34,"URBAN BELOW 20,000",POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,DE FACTO SEPARATED,PLEASED,9,IT`S DIFFICULT TO TELL,YES,NO,NO,62,NO,NO,YES,NO,NONE,161,143,41.5990899216495,0
5,FEMALE,63,65+,"URBAN 20,000-100,000",PRIMARY/NO EDUCATION,FARMER,LEGALLY SEPARATED,MIXED,16,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,NO,10,NO,NO,YES,"YES, TO NON-EU COUNTRY",NONE,175,120,27.922038852329628,0
6,FEMALE,42,65+,"URBAN 100,000-200,000",VOCATIONAL/GRAMMAR,LONG-TERM SICK/DISABLED,DIVORCED,UNHAPPY,0,ONE CAN`T BE TOO CAREFUL,YES,NO,NO,3,YES,NO,YES,"YES, TO NON-EU COUNTRY",PASSIVE,181,63,31.58809678028714,0
7,FEMALE,74,65+,"URBAN BELOW 20,000",PRIMARY/NO EDUCATION,OTHER ECONOMICALLY INACTIVE,MARRIED,PLEASED,8,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,YES,18,NO,NO,YES,"YES, TO NON-EU COUNTRY",NONE,174,107,18.281771621091412,0
8,MALE,46,35-44,"URBAN 100,000-200,000",SECONDARY,LONG-TERM SICK/DISABLED,MARRIED,DELIGHTED,14,MOST PEOPLE CAN BE TRUSTED,YES,NO,NO,5,NO,NO,NO,"YES, TO EU COUNTRY",PASSIVE,175,77,30.816930200092468,0
9,FEMALE,16,45-59,"URBAN 200,000-500,000",VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,WIDOWED,MIXED,12,IT`S DIFFICULT TO TELL,NO OPINION,YES,YES,10,NO,YES,YES,"YES, TO EU COUNTRY",ACTIVE,172,72,23.04494928715828,0
10,MALE,36,25-34,"URBAN BELOW 20,000",PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,SINGLE,MOSTLY DISSATISFIED,6,ONE CAN`T BE TOO CAREFUL,NO,NO OPINION,NO,38,YES,YES,YES,NO,ACTIVE,165,144,28.55247146811812,0
