,sex,age,agegr,placesize,edu,socprof,marital,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,alcabuse,alcsol,wkabint,englang,height,weight,bmi
0,FEMALE,39,45-59,RURAL AREAS,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,MOSTLY SATISFIED,5,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,3,NO,NO,NO,NO,NONE,164,81,30.44171983393996
1,MALE,19,16-24,RURAL AREAS,VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,SINGLE,MOSTLY SATISFIED,0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,5,NO,NO,NO,NO,NONE,183,70,22.41773228678335
2,MALE,57,60-64,"URBAN 100,000-200,000",POST-SECONDARY OR HIGHER,RETIRED,MARRIED,PLEASED,3,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,4,NO,NO,NO,NO,NONE,171,80,28.14515970549138
3,FEMALE,53,65+,RURAL AREAS,PRIMARY/NO EDUCATION,RETIRED,MARRIED,PLEASED,10,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,1,NO,NO,NO,NO,NONE,161,72,27.51748451796258
4,FEMALE,29,16-24,RURAL AREAS,SECONDARY,OTHER ECONOMICALLY INACTIVE,SINGLE,PLEASED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,6,NO,NO,NO,NO,PASSIVE,169,78,24.730429121133355
5,MALE,63,65+,RURAL AREAS,PRIMARY/NO EDUCATION,RETIRED,MARRIED,MIXED,9,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,2,NO,NO,NO,NO,NONE,184,95,28.947994516953333
6,FEMALE,40,25-34,RURAL AREAS,SECONDARY,OTHER ECONOMICALLY INACTIVE,MARRIED,PLEASED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,7,NO,NO,NO,NO,NONE,164,69,23.38333334241131
7,MALE,33,25-34,RURAL AREAS,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,PLEASED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,5,NO,NO,NO,NO,NONE,170,65,22.112337851158717
8,MALE,56,60-64,RURAL AREAS,VOCATIONAL/GRAMMAR,RETIRED,MARRIED,PLEASED,7,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,4,NO,NO,NO,NO,NONE,170,70,23.441868735708756
9,FEMALE,32,35-44,RURAL AREAS,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,MOSTLY SATISFIED,0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,5,NO,NO,NO,NO,NONE,169,89,28.25660099633931
10,MALE,44,35-44,"URBAN 100,000-200,000",POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,PLEASED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,7,NO,NO,NO,NO,ACTIVE,184,88,26.90460315716551
