COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
AAC;Exercice d'une activité professionnelle régulière antérieure, pour les inactifs, chômeurs et personnes ayant une activité temporaire ou d'appoint autre qu'un emploi informel;1;Oui;CHAR;1
AAC;Exercice d'une activité professionnelle régulière antérieure, pour les inactifs, chômeurs et personnes ayant une activité temporaire ou d'appoint autre qu'un emploi informel;2;Non;CHAR;1
AAC;Exercice d'une activité professionnelle régulière antérieure, pour les inactifs, chômeurs et personnes ayant une activité temporaire ou d'appoint autre qu'un emploi informel;9;Non réponse;CHAR;1
AAC;Exercice d'une activité professionnelle régulière antérieure, pour les inactifs, chômeurs et personnes ayant une activité temporaire ou d'appoint autre qu'un emploi informel;;Hors champ;CHAR;1
ACTEU;Statut d'activité au sens du Bureau International du Travail (BIT);1;Emploi;CHAR;1
ACTEU;Statut d'activité au sens du Bureau International du Travail (BIT);2;Chômage;CHAR;1
ACTEU;Statut d'activité au sens du Bureau International du Travail (BIT);3;Non Inactivité;CHAR;1
AGE6;;00;14 ans ou moins;CHAR;2
AGE6;;15;15-24 ans;CHAR;2
AGE6;;25;25-49 ans;CHAR;2
AGE6;;50;50-64 ans;CHAR;2
AGE6;;65;65-89 ans;CHAR;2
AGE6;;90;90 ans ou plus;CHAR;2
ANCCHOM;Ancienneté au chômage;1;Moins d'un mois;CHAR;2
ANCCHOM;Ancienneté au chômage;2;De 1 mois à moins de 3 mois;CHAR;2
ANCCHOM;Ancienneté au chômage;3;De 3 mois à moins de 6 mois;CHAR;2
ANCCHOM;Ancienneté au chômage;4;De 6 mois à moins de 12 mois;CHAR;2
ANCCHOM;Ancienneté au chômage;5;De 12 mois à moins de 18 mois;CHAR;2
ANCCHOM;Ancienneté au chômage;6;De 18 mois à moins de 24 mois;CHAR;2
ANCCHOM;Ancienneté au chômage;7;De 2 ans à moins de 4 ans;CHAR;2
ANCCHOM;Ancienneté au chômage;8;4 ans ou plus;CHAR;2
ANCCHOM;Ancienneté au chômage;9;Non réponse;CHAR;2
ANCCHOM;Ancienneté au chômage;;Hors champ;CHAR;2
ANCEMPL4;Ancienneté en 4 tranches (emploi principal);1;Moins d'un an;CHAR;1
ANCEMPL4;Ancienneté en 4 tranches (emploi principal);2;De 1 an à moins de 5 ans;CHAR;1
ANCEMPL4;Ancienneté en 4 tranches (emploi principal);3;De 5 ans à moins de 10 ans;CHAR;1
ANCEMPL4;Ancienneté en 4 tranches (emploi principal);4;10 ans ou plus;CHAR;1
ANCEMPL4;Ancienneté en 4 tranches (emploi principal);9;Non réponse;CHAR;1
ANCEMPL4;Ancienneté en 4 tranches (emploi principal);;Hors champ;CHAR;1
ANCSSEMP;Ancienneté sans emploi;1;Moins d'un mois;CHAR;2
ANCSSEMP;Ancienneté sans emploi;2;De 1 mois à moins de 3 mois;CHAR;2
ANCSSEMP;Ancienneté sans emploi;3;De 3 mois à moins de 6 mois;CHAR;2
ANCSSEMP;Ancienneté sans emploi;4;De 6 mois à moins de 12 mois;CHAR;2
ANCSSEMP;Ancienneté sans emploi;5;De 12 mois à moins de 18 mois;CHAR;2
ANCSSEMP;Ancienneté sans emploi;6;De 18 mois à moins de 24 mois;CHAR;2
ANCSSEMP;Ancienneté sans emploi;7;De 2 ans à moins de 4 ans;CHAR;2
ANCSSEMP;Ancienneté sans emploi;8;4 ans à moins de 10 ans;CHAR;2
ANCSSEMP;Ancienneté sans emploi;9;10 ans ou plus;CHAR;2
ANCSSEMP;Ancienneté sans emploi;99;Non réponse;CHAR;2
ANCSSEMP;Ancienneté sans emploi;;Hors champ;CHAR;2
ANNEE;Année de référence de l'enquête;2022;Année de référence sur 4 positions;CHAR;4
CHPUB;Nature de l'employeur (emploi principal);1;Une entreprise privée ou une association;CHAR;1
CHPUB;Nature de l'employeur (emploi principal);2;Une entreprise publique (EDF, La Poste, SNCF...);CHAR;1
CHPUB;Nature de l'employeur (emploi principal);3;L'État ou un établissement public administratif (Universités, Pôle Emploi, CNRS...);CHAR;1
CHPUB;Nature de l'employeur (emploi principal);4;Une collectivité territoriale;CHAR;1
CHPUB;Nature de l'employeur (emploi principal);5;Un hôpital ou un établissement médico-social (maison de retraite, Ehpad...) public;CHAR;1
CHPUB;Nature de l'employeur (emploi principal);6;Un organisme de Sécurité sociale (Caf, MSA, Urssaf, CPAM, Carsat...);CHAR;1
CHPUB;Nature de l'employeur (emploi principal);7;Un particulier;CHAR;1
CHPUB;Nature de l'employeur (emploi principal);9;Non réponse;CHAR;1
CHPUB;Nature de l'employeur (emploi principal);;Hors champ;CHAR;1
CL_EMPLOI;Classe d'emploi (emploi principal);I1;Emploi indépendant de niveau supérieur;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);I2;Emploi indépendant de niveau intermédiaire;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);I3;Emploi de petit indépendant, avec salarié ou aide familiale;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);I4;Emploi de petit indépendant, sans salarié ou aide familiale;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);A1;Emploi salarié de niveau supérieur, d'orientation technique, en CDI;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);A2;Emploi salarié de niveau supérieur, d'orientation tertiaire, en CDI;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);A3;Emploi salarié de niveau supérieur, fonctionnaire;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);A4;Emploi salarié de niveau supérieur, en contrat à durée limitée;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);B1;Emploi salarié de niveau intermédiaire, d'orientation technique, en CDI;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);B2;Emploi salarié de niveau intermédiaire, d'orientation tertiaire, en CDI;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);B3;Emploi salarié de niveau intermédiaire, fonctionnaire;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);B4;Emploi salarié de niveau intermédiaire, en contrat à durée limitée;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);C1;Emploi salarié qualifié, d'orientation ouvrière, en CDI;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);C2;Emploi salarié qualifié, d'orientation employée, en CDI;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);C3;Emploi salarié qualifié, fonctionnaire;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);C4;Emploi salarié qualifié, en contrat à durée limitée;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);D1;Emploi salarié peu qualifié, d'orientation ouvrière, en CDI;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);D2;Emploi salarié peu qualifié, d'orientation employée, en CDI;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);D3;Emploi salarié peu qualifié, fonctionnaire;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);D4;Emploi salarié peu qualifié, en contrat à durée limitée;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);99;Non connue;CHAR;3
CL_EMPLOI;Classe d'emploi (emploi principal);;Hors champ;CHAR;3
COUPL_LOG;En couple avec quelqu'un vivant dans le logement;1;Oui;CHAR;1
COUPL_LOG;En couple avec quelqu'un vivant dans le logement;2;Non;CHAR;1
DEMNE;A effectué au moins une démarche de recherche d'emploi au cours des 4 dernières semaines;1;Oui;CHAR;1
DEMNE;A effectué au moins une démarche de recherche d'emploi au cours des 4 dernières semaines;2;Non;CHAR;1
DEMNE;A effectué au moins une démarche de recherche d'emploi au cours des 4 dernières semaines;9;Non réponse;CHAR;1
DEMNE;A effectué au moins une démarche de recherche d'emploi au cours des 4 dernières semaines;;Hors champ;CHAR;1
DIP7;Diplôme le plus élevé obtenu (7 postes);1;Diplôme de nvieau bac+5 ou plus (doctorat, master ou équivalent);CHAR;1
DIP7;Diplôme le plus élevé obtenu (7 postes);2;Diplôme de nvieau bac+3/4 (licence, maîtrise ou équivalent);CHAR;1
DIP7;Diplôme le plus élevé obtenu (7 postes);3;Diplôme de nvieau bac+2 (DUT, BTS, Deug ou équivalent);CHAR;1
DIP7;Diplôme le plus élevé obtenu (7 postes);4;Bac général, technologique, professionnel ou équivalent;CHAR;1
DIP7;Diplôme le plus élevé obtenu (7 postes);5;CAP, BEP ou équivalent;CHAR;1
DIP7;Diplôme le plus élevé obtenu (7 postes);6;BEPC, DNB, brevet des collèges;CHAR;1
DIP7;Diplôme le plus élevé obtenu (7 postes);7;Aucun diplôme, certificat d'études primaires;CHAR;1
DIP7;Diplôme le plus élevé obtenu (7 postes);9;Non réponse;CHAR;1
DIP7;Diplôme le plus élevé obtenu (7 postes);;Hors champ;CHAR;1
DISPONE;Disponible pour travailler;1;Oui;CHAR;1
DISPONE;Disponible pour travailler;2;Non;CHAR;1
DISPONE;Disponible pour travailler;9;Non réponse;CHAR;1
DISPONE;Disponible pour travailler;;Hors champ;CHAR;1
DISPPLC;Disponible pour travailler plus d'heures;1;Oui;CHAR;1
DISPPLC;Disponible pour travailler plus d'heures;2;Non;CHAR;1
DISPPLC;Disponible pour travailler plus d'heures;9;Non réponse;CHAR;1
DISPPLC;Disponible pour travailler plus d'heures;;Hors champ;CHAR;1
ENFRED;Individu avec au moins un enfant dans le logement, au trimestre courant;1;Oui;CHAR;1
ENFRED;Individu avec au moins un enfant dans le logement, au trimestre courant;2;Non;CHAR;1
EXTRIAN;Coefficient annuel de pondération des individus;....;Coefficient de pondération;NUM;12.9
HALOR;Halo autour du chômage;1;Oui;CHAR;1
HALOR;Halo autour du chômage;2;Non;CHAR;1
HALOR;Halo autour du chômage;;Hors champ;CHAR;1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);;Sans objet (ACTEU distinct de 1);NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);0.0;0 heure;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);1.0;1 heure;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);1.5;1.5 heure;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);2.0;2 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);2.5;2.5 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);3.0;3 heures;NUM;4.1
HEFFEMP;Nombre d'heures effectivement travaillées au cours de la semaine de référence (emploi principal);3.5;3.5 heures;NUM;4.1
