,sex,age,agegr,placesize,edu,socprof,marital,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,alcabuse,alcsol,wkabint,englang,height,weight,bmi
0,MALE,29,65+,RURAL AREAS,SECONDARY,PUPIL OR STUDENT,WIDOWED,MOSTLY DISSATISFIED,4,MOST PEOPLE CAN BE TRUSTED,YES,NO,NO,6,NO,YES,NO,NO,NONE,173,69,22.771911930405683
1,FEMALE,61,45-59,"URBAN BELOW 20,000",VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,SINGLE,PLEASED,9,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,9,NO,NO,NO,NO,NONE,152,61,25.467838488270925
2,MALE,54,65+,"URBAN 100,000-200,000",SECONDARY,EMPLOYED IN PRIVATE SECTOR,SINGLE,PLEASED,4,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,5,NO,YES,NO,NO,PASSIVE,176,45,27.25392980946281
3,MALE,27,16-24,"URBAN 100,000-200,000",SECONDARY,EMPLOYED IN PRIVATE SECTOR,WIDOWED,MIXED,15,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,16,NO,NO,NO,NO,NONE,156,55,27.766607840550897
4,MALE,33,65+,RURAL AREAS,VOCATIONAL/GRAMMAR,RETIRED,MARRIED,TERRIBLE,11,ONE CAN`T BE TOO CAREFUL,NO,NO OPINION,NO,4,NO,NO,NO,NO,PASSIVE,166,81,26.85629845566239
5,FEMALE,68,45-59,RURAL AREAS,PRIMARY/NO EDUCATION,EMPLOYED IN PRIVATE SECTOR,SINGLE,DELIGHTED,21,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,11,YES,NO,NO,NO,NONE,167,76,28.388008111633848
6,MALE,24,35-44,RURAL AREAS,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,SINGLE,PLEASED,4,MOST PEOPLE CAN BE TRUSTED,YES,NO OPINION,NO,11,NO,YES,NO,NO,NONE,155,73,22.896034295537888
7,FEMALE,31,25-34,RURAL AREAS,VOCATIONAL/GRAMMAR,RETIRED,MARRIED,MOSTLY SATISFIED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,10,YES,NO,NO,NO,NONE,162,70,33.952196181539335
8,FEMALE,60,35-44,"URBAN BELOW 20,000",VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,MARRIED,MOSTLY SATISFIED,2,IT`S DIFFICULT TO TELL,YES,YES,YES,8,YES,NO,NO,NO,PASSIVE,169,68,23.86998519088451
9,FEMALE,50,65+,RURAL AREAS,SECONDARY,PUPIL OR STUDENT,MARRIED,MOSTLY SATISFIED,7,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,10,NO,NO,NO,NO,NONE,166,65,24.33923579659486
10,FEMALE,49,16-24,"URBAN 100,000-200,000",SECONDARY,PUPIL OR STUDENT,MARRIED,PLEASED,12,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,20,NO,YES,NO,NO,ACTIVE,179,64,22.093305013880684
11,FEMALE,19,65+,"URBAN 100,000-200,000",POST-SECONDARY OR HIGHER,LONG-TERM SICK/DISABLED,SINGLE,PLEASED,1,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,10,NO,NO,NO,NO,PASSIVE,169,60,27.84063321403338
12,FEMALE,63,35-44,"URBAN 100,000-200,000",SECONDARY,OTHER ECONOMICALLY INACTIVE,MARRIED,DELIGHTED,9,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,11,NO,NO,NO,NO,NONE,165,66,28.96726858147909
13,MALE,21,35-44,"URBAN BELOW 20,000",SECONDARY,UNEMPLOYED,WIDOWED,UNHAPPY,1,IT`S DIFFICULT TO TELL,YES,NO,NO,2,NO,YES,NO,NO,PASSIVE,156,72,26.612356157310693
14,MALE,84,45-59,RURAL AREAS,SECONDARY,EMPLOYED IN PUBLIC SECTOR,SINGLE,MIXED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,9,NO,NO,NO,NO,ACTIVE,164,78,29.27239081848067
15,FEMALE,57,60-64,RURAL AREAS,SECONDARY,EMPLOYED IN PUBLIC SECTOR,SINGLE,PLEASED,0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,3,NO,NO,NO,NO,PASSIVE,157,68,26.177656521482376
16,MALE,36,25-34,RURAL AREAS,SECONDARY,EMPLOYED IN PRIVATE SECTOR,DE FACTO SEPARATED,PLEASED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,11,NO,NO,NO,NO,NONE,151,88,33.62735821792563
17,FEMALE,73,45-59,"URBAN 100,000-200,000",VOCATIONAL/GRAMMAR,FARMER,SINGLE,PLEASED,5,IT`S DIFFICULT TO TELL,YES,YES,YES,7,NO,NO,NO,NO,NONE,169,85,29.426287384315252
18,MALE,48,45-59,"URBAN 20,000-100,000",VOCATIONAL/GRAMMAR,EMPLOYED IN PUBLIC SECTOR,SINGLE,PLEASED,4,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,3,YES,NO,NO,NO,NONE,171,68,23.076311978655156
19,MALE,54,25-34,RURAL AREAS,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,MOSTLY SATISFIED,5,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,10,YES,NO,YES,NO,NONE,159,49,28.54120952447429
20,MALE,60,65+,RURAL AREAS,VOCATIONAL/GRAMMAR,FARMER,MARRIED,MOSTLY SATISFIED,7,IT`S DIFFICULT TO TELL,YES,YES,YES,10,NO,NO,NO,NO,PASSIVE,163,49,29.817989870415587
21,FEMALE,18,65+,RURAL AREAS,PRIMARY/NO EDUCATION,EMPLOYED IN PRIVATE SECTOR,MARRIED,MIXED,12,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,NO,10,YES,NO,NO,NO,NONE,175,73,23.2357662696304
22,FEMALE,19,60-64,"URBAN 500,000 AND OVER",SECONDARY,SELF-EMPLOYED,MARRIED,PLEASED,1,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,9,NO,NO,NO,NO,NONE,170,50,27.192893994920567
23,MALE,37,65+,"URBAN 100,000-200,000",SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,TERRIBLE,2,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,4,NO,YES,NO,NO,NONE,172,58,25.865110217154005
